,year_of_purchase,date_of_purchase,type,og_nr,wc_nr,product,amount_in_kg,price_per_kg,total_payment_usd
17341,2016,2016-07-19,wc,,0.0,Baobab fruit whole (org),43.4,0.12,5.2
18647,2016,2016-08-17,wc,,0.0,Baobab fruit whole (org),18.0,0.12,2.1
18649,2016,2016-08-17,wc,,0.0,Baobab fruit whole (org),27.0,0.12,3.2
13386,2016,2016-06-23,wc,,942.0,Gotu kola leaves (con),7.8,2.0,16.0
13437,2016,2016-07-23,wc,,942.0,Gotu kola leaves (con),1.6,2.0,3.0
11982,2019,2019-01-28,wc,,942.0,Gotu kola leaves (org),10.0,2.3,23.0
12023,2019,2019-02-12,wc,,942.0,Gotu kola leaves (org),11.0,2.3,25.0
13135,2019,2019-06-03,wc,,942.0,Gotu kola leaves (org),14.2,3.0,43.0
22941,2019,2019-06-27,wc,,942.0,Gotu kola leaves (org),1.5,3.0,5.0
13409,2016,2016-06-24,wc,,953.0,Gotu kola leaves (con),3.5,2.0,7.0
13452,2016,2016-07-21,wc,,953.0,Gotu kola leaves (con),1.33,2.0,3.0
11933,2019,2019-01-24,wc,,955.0,Gotu kola leaves (org),14.0,2.3,32.0
12006,2019,2019-01-30,wc,,955.0,Gotu kola leaves (org),13.0,2.3,30.0
11986,2019,2019-01-28,wc,,959.0,Gotu kola leaves (org),16.0,2.3,37.0
11993,2019,2019-01-30,wc,,959.0,Gotu kola leaves (org),12.0,2.3,28.0
12505,2019,2019-02-07,wc,,959.0,Gotu kola leaves (org),7.4,2.3,17.0
12024,2019,2019-02-12,wc,,959.0,Gotu kola leaves (org),13.0,2.3,30.0
12653,2019,2019-01-17,wc,,960.0,Gotu kola leaves (org),5.3,2.3,13.0
11813,2019,2019-01-21,wc,,960.0,Gotu kola leaves (org),19.0,2.3,45.0
11844,2019,2019-01-25,wc,,960.0,Gotu kola leaves (org),16.0,2.3,36.0
11883,2019,2019-01-25,wc,,960.0,Gotu kola leaves (org),17.0,2.3,39.0
11921,2019,2019-01-25,wc,,960.0,Gotu kola leaves (org),12.0,2.3,28.0
12480,2019,2019-02-01,wc,,960.0,Gotu kola leaves (org),15.2,2.3,34.0
24442,2015,2015-09-09,wc,,1005.0,Baobab whole fruit (con),226.0,0.1,23.0
24444,2015,2015-09-09,wc,,1005.0,Baobab whole fruit (con),48.0,0.1,5.0
24445,2015,2015-09-09,wc,,1005.0,Baobab whole fruit (con),12.0,0.1,1.0
24498,2015,2015-09-17,wc,,1033.0,Baobab whole fruit (con),198.0,0.1,20.0
24499,2015,2015-09-17,wc,,1033.0,Baobab whole fruit (con),10.0,0.1,1.0
24500,2015,2015-09-17,wc,,1044.0,Baobab whole fruit (con),185.0,0.1,18.0
24501,2015,2015-09-17,wc,,1044.0,Baobab whole fruit (con),6.0,0.1,1.0
11960,2019,2019-01-24,wc,,1046.0,Gotu kola leaves (org),10.0,2.3,23.0
12018,2019,2019-02-07,wc,,1046.0,Gotu kola leaves (org),15.0,2.3,35.0
11962,2019,2019-01-24,wc,,1047.0,Gotu kola leaves (org),9.0,2.3,21.0
12423,2019,2019-02-12,wc,,1047.0,Gotu kola leaves (org),7.61,2.3,18.0
12430,2019,2019-02-12,wc,,1047.0,Gotu kola leaves (org),4.34,2.3,10.0
12822,2019,2019-06-28,wc,,1047.0,Gotu kola leaves (org),1.9,3.0,6.0
12829,2019,2019-06-28,wc,,1047.0,Gotu kola leaves (org),5.2,3.0,16.0
12911,2019,2019-07-03,wc,,1047.0,Gotu kola leaves (org),1.3,3.0,4.0
12941,2019,2019-07-10,wc,,1047.0,Gotu kola leaves (org),1.2,3.0,4.0
12848,2019,2019-07-11,wc,,1047.0,Gotu kola leaves (org),2.0,3.0,6.0
12895,2019,2019-07-26,wc,,1047.0,Gotu kola leaves (org),1.4,3.0,4.0
12907,2019,2019-07-26,wc,,1047.0,Gotu kola leaves (org),1.6,3.0,5.0
12961,2019,2019-08-01,wc,,1047.0,Gotu kola leaves (org),1.6,3.0,5.0
12969,2019,2019-08-02,wc,,1047.0,Gotu kola leaves (org),3.9,3.0,12.0
12985,2019,2019-08-07,wc,,1047.0,Gotu kola leaves (org),1.6,3.0,5.0
13030,2019,2019-08-08,wc,,1047.0,Gotu kola leaves (org),1.7,3.0,5.0
13038,2019,2019-08-08,wc,,1047.0,Gotu kola leaves (org),3.9,3.0,12.0
13020,2019,2019-08-13,wc,,1047.0,Gotu kola leaves (org),0.9,3.0,3.0
13060,2019,2019-08-15,wc,,1047.0,Gotu kola leaves (org),1.8,3.0,5.0
12871,2019,2019-08-25,wc,,1047.0,Gotu kola leaves (org),3.5,3.0,11.0
13445,2016,2016-07-21,wc,,1049.0,Gotu kola leaves (con),2.49,2.0,5.0
11963,2019,2019-01-25,wc,,1049.0,Gotu kola leaves (org),16.0,2.3,37.0
12012,2019,2019-02-07,wc,,1049.0,Gotu kola leaves (org),10.0,2.3,23.0
12424,2019,2019-02-12,wc,,1049.0,Gotu kola leaves (org),5.27,2.3,12.0
12819,2019,2019-06-28,wc,,1049.0,Gotu kola leaves (org),1.7,3.0,5.0
12912,2019,2019-07-03,wc,,1049.0,Gotu kola leaves (org),1.6,3.0,5.0
12937,2019,2019-07-05,wc,,1049.0,Gotu kola leaves (org),2.4,3.0,7.0
12847,2019,2019-07-11,wc,,1049.0,Gotu kola leaves (org),2.2,3.0,7.0
12850,2019,2019-07-18,wc,,1049.0,Gotu kola leaves (org),2.4,3.0,7.0
12892,2019,2019-07-24,wc,,1049.0,Gotu kola leaves (org),1.2,3.0,4.0
12896,2019,2019-07-26,wc,,1049.0,Gotu kola leaves (org),1.7,3.0,5.0
12906,2019,2019-07-26,wc,,1049.0,Gotu kola leaves (org),1.3,3.0,4.0
12962,2019,2019-08-01,wc,,1049.0,Gotu kola leaves (org),0.9,3.0,2.0
12997,2019,2019-08-07,wc,,1049.0,Gotu kola leaves (org),1.7,3.0,5.0
13029,2019,2019-08-08,wc,,1049.0,Gotu kola leaves (org),1.4,3.0,4.0
13039,2019,2019-08-08,wc,,1049.0,Gotu kola leaves (org),1.8,3.0,5.0
13021,2019,2019-08-13,wc,,1049.0,Gotu kola leaves (org),1.2,3.0,4.0
13059,2019,2019-08-15,wc,,1049.0,Gotu kola leaves (org),1.0,3.0,3.0
11814,2019,2019-01-21,wc,,1050.0,Gotu kola leaves (org),15.0,2.3,35.0
11847,2019,2019-01-25,wc,,1050.0,Gotu kola leaves (org),13.0,2.3,30.0
11884,2019,2019-01-25,wc,,1050.0,Gotu kola leaves (org),16.0,2.3,36.0
11922,2019,2019-01-25,wc,,1050.0,Gotu kola leaves (org),11.0,2.3,25.0
12870,2019,2019-08-25,wc,,1050.0,Gotu kola leaves (org),4.4,3.0,13.0
13456,2016,2016-07-21,wc,,1051.0,Gotu kola leaves (con),2.9,2.0,6.0
12416,2019,2019-02-12,wc,,1051.0,Gotu kola leaves (org),6.3,2.3,14.0
12446,2019,2019-02-14,wc,,1051.0,Gotu kola leaves (org),8.63,2.3,20.0
12469,2019,2019-02-16,wc,,1051.0,Gotu kola leaves (org),1.7,2.3,4.0
12809,2019,2019-06-14,wc,,1051.0,Gotu kola leaves (org),2.1,3.0,6.0
12816,2019,2019-06-14,wc,,1051.0,Gotu kola leaves (org),3.5,3.0,11.0
12932,2019,2019-07-05,wc,,1051.0,Gotu kola leaves (org),2.4,3.0,7.0
12845,2019,2019-07-11,wc,,1051.0,Gotu kola leaves (org),1.7,3.0,5.0
12885,2019,2019-07-24,wc,,1051.0,Gotu kola leaves (org),1.4,3.0,4.0
12955,2019,2019-08-01,wc,,1051.0,Gotu kola leaves (org),2.3,3.0,7.0
12960,2019,2019-08-01,wc,,1051.0,Gotu kola leaves (org),0.4,3.0,1.0
12966,2019,2019-08-01,wc,,1051.0,Gotu kola leaves (org),1.8,3.0,5.0
12979,2019,2019-08-02,wc,,1051.0,Gotu kola leaves (org),1.8,3.0,5.0
13014,2019,2019-08-13,wc,,1051.0,Gotu kola leaves (org),1.5,3.0,5.0
13025,2019,2019-08-13,wc,,1051.0,Gotu kola leaves (org),1.3,3.0,4.0
13047,2019,2019-08-14,wc,,1051.0,Gotu kola leaves (org),1.7,3.0,5.0
13052,2019,2019-08-14,wc,,1051.0,Gotu kola leaves (org),1.8,3.0,5.0
12879,2019,2019-07-24,wc,,1052.0,Gotu kola leaves (org),1.8,3.0,5.0
12884,2019,2019-07-24,wc,,1052.0,Gotu kola leaves (org),1.6,3.0,5.0
12902,2019,2019-07-26,wc,,1052.0,Gotu kola leaves (org),1.5,3.0,5.0
24737,2015,2015-08-04,wc,,1053.0,Baobab whole fruit (con),241.0,0.1,24.0
11961,2019,2019-01-24,wc,,1053.0,Gotu kola leaves (org),7.0,2.3,16.0
24629,2015,2015-09-02,wc,,1057.0,Baobab whole fruit (con),323.0,0.1,32.0
12839,2019,2019-07-11,wc,,1057.0,Gotu kola leaves (org),1.5,3.0,5.0
12849,2019,2019-07-18,wc,,1057.0,Gotu kola leaves (org),2.5,3.0,8.0
13416,2016,2016-06-24,wc,,1058.0,Gotu kola leaves (con),3.03,2.0,6.0
13461,2016,2016-07-21,wc,,1058.0,Gotu kola leaves (con),1.08,2.0,2.0
12496,2019,2019-02-07,wc,,1058.0,Gotu kola leaves (org),12.8,2.3,30.0
12425,2019,2019-02-12,wc,,1058.0,Gotu kola leaves (org),11.78,2.3,27.0
12431,2019,2019-02-13,wc,,1058.0,Gotu kola leaves (org),5.54,2.3,13.0
12440,2019,2019-02-13,wc,,1058.0,Gotu kola leaves (org),8.75,2.3,20.0
12453,2019,2019-02-14,wc,,1058.0,Gotu kola leaves (org),4.64,2.3,11.0
12461,2019,2019-02-16,wc,,1058.0,Gotu kola leaves (org),6.27,2.3,14.0
12614,2019,2019-04-16,wc,,1058.0,Gotu kola leaves (org),6.5,2.3,15.0
12796,2019,2019-06-07,wc,,1058.0,Gotu kola leaves (org),1.7,3.0,5.0
12802,2019,2019-06-07,wc,,1058.0,Gotu kola leaves (org),0.7,3.0,2.0
12805,2019,2019-06-14,wc,,1058.0,Gotu kola leaves (org),3.1,3.0,9.0
12818,2019,2019-06-14,wc,,1058.0,Gotu kola leaves (org),2.3,3.0,7.0
12825,2019,2019-06-28,wc,,1058.0,Gotu kola leaves (org),3.7,3.0,11.0
12918,2019,2019-07-03,wc,,1058.0,Gotu kola leaves (org),3.6,3.0,11.0
12925,2019,2019-07-05,wc,,1058.0,Gotu kola leaves (org),1.5,3.0,5.0
12930,2019,2019-07-05,wc,,1058.0,Gotu kola leaves (org),1.8,3.0,5.0
12950,2019,2019-07-10,wc,,1058.0,Gotu kola leaves (org),1.5,3.0,5.0
12835,2019,2019-07-11,wc,,1058.0,Gotu kola leaves (org),3.3,3.0,10.0
12853,2019,2019-07-18,wc,,1058.0,Gotu kola leaves (org),5.8,3.0,17.0
12967,2019,2019-08-01,wc,,1058.0,Gotu kola leaves (org),2.1,3.0,4.0
12975,2019,2019-08-02,wc,,1058.0,Gotu kola leaves (org),1.1,3.0,3.0
13040,2019,2019-08-08,wc,,1058.0,Gotu kola leaves (org),1.7,3.0,5.0
13027,2019,2019-08-13,wc,,1058.0,Gotu kola leaves (org),1.7,3.0,5.0
13045,2019,2019-08-14,wc,,1058.0,Gotu kola leaves (org),1.6,3.0,5.0
22831,2019,2019-08-15,wc,,1058.0,Gotu kola leaves (org),2.9,3.0,9.0
12864,2019,2019-08-25,wc,,1058.0,Gotu kola leaves (org),3.8,3.0,11.0
13004,2019,2019-08-31,wc,,1058.0,Gotu kola leaves (org),3.7,3.0,11.0
13009,2019,2019-08-31,wc,,1058.0,Gotu kola leaves (org),2.0,3.0,6.0
24502,2015,2015-09-21,wc,,1061.0,Baobab whole fruit (con),257.0,0.1,26.0
24503,2015,2015-09-21,wc,,1061.0,Baobab whole fruit (con),11.0,0.1,1.0
24504,2015,2015-09-21,wc,,1061.0,Baobab whole fruit (con),50.0,0.1,5.0
13429,2016,2016-06-23,wc,,1061.0,Gotu kola leaves (con),2.75,2.0,6.0
12656,2019,2019-01-17,wc,,1061.0,Gotu kola leaves (org),5.9,2.3,14.0
11817,2019,2019-01-21,wc,,1061.0,Gotu kola leaves (org),12.0,2.3,28.0
11864,2019,2019-01-25,wc,,1061.0,Gotu kola leaves (org),12.0,2.3,28.0
11909,2019,2019-01-25,wc,,1061.0,Gotu kola leaves (org),20.0,2.3,46.0
12482,2019,2019-02-01,wc,,1061.0,Gotu kola leaves (org),5.4,2.3,12.0
12514,2019,2019-02-09,wc,,1061.0,Gotu kola leaves (org),49.9,2.3,115.0
12528,2019,2019-02-12,wc,,1061.0,Gotu kola leaves (org),9.1,2.3,21.0
12533,2019,2019-02-13,wc,,1061.0,Gotu kola leaves (org),2.7,2.3,6.0
12544,2019,2019-02-14,wc,,1061.0,Gotu kola leaves (org),2.4,2.3,6.0
12562,2019,2019-02-22,wc,,1061.0,Gotu kola leaves (org),1.4,2.3,3.0
12573,2019,2019-02-26,wc,,1061.0,Gotu kola leaves (org),4.1,2.3,9.0
12582,2019,2019-03-01,wc,,1061.0,Gotu kola leaves (org),25.5,2.3,60.0
12604,2019,2019-04-15,wc,,1061.0,Gotu kola leaves (org),1.8,2.3,4.0
12637,2019,2019-06-03,wc,,1061.0,Gotu kola leaves (org),4.8,2.3,11.0
13127,2019,2019-06-03,wc,,1061.0,Gotu kola leaves (org),5.0,3.0,15.0
13143,2019,2019-07-20,wc,,1061.0,Gotu kola leaves (org),5.6,3.0,18.0
11815,2019,2019-01-21,wc,,1063.0,Gotu kola leaves (org),13.0,2.3,30.0
11881,2019,2019-01-25,wc,,1063.0,Gotu kola leaves (org),10.0,2.3,23.0
11984,2019,2019-01-28,wc,,1065.0,Gotu kola leaves (org),8.0,2.3,18.0
12000,2019,2019-01-30,wc,,1065.0,Gotu kola leaves (org),8.0,2.3,18.0
12025,2019,2019-02-12,wc,,1065.0,Gotu kola leaves (org),15.0,2.3,35.0
12536,2019,2019-02-13,wc,,1069.0,Gotu kola leaves (org),3.9,2.3,9.0
13130,2019,2019-06-03,wc,,1069.0,Gotu kola leaves (org),2.5,3.0,8.0
12657,2019,2019-01-17,wc,,1070.0,Gotu kola leaves (org),4.5,2.3,10.0
12484,2019,2019-02-01,wc,,1070.0,Gotu kola leaves (org),28.6,2.3,66.0
12518,2019,2019-02-09,wc,,1070.0,Gotu kola leaves (org),14.5,2.3,33.0
12527,2019,2019-02-12,wc,,1070.0,Gotu kola leaves (org),3.9,2.3,9.0
13132,2019,2019-06-03,wc,,1070.0,Gotu kola leaves (org),1.0,3.0,3.0
12477,2019,2019-02-01,wc,,1078.0,Gotu kola leaves (org),2.5,2.3,6.0
12513,2019,2019-02-09,wc,,1078.0,Gotu kola leaves (org),2.0,2.3,5.0
12537,2019,2019-02-13,wc,,1078.0,Gotu kola leaves (org),10.5,2.3,24.0
12547,2019,2019-02-15,wc,,1078.0,Gotu kola leaves (org),6.9,2.3,16.0
12563,2019,2019-02-22,wc,,1078.0,Gotu kola leaves (org),6.8,2.3,16.0
12568,2019,2019-02-26,wc,,1078.0,Gotu kola leaves (org),4.7,2.3,11.0
12583,2019,2019-03-01,wc,,1078.0,Gotu kola leaves (org),7.0,2.3,16.0
12593,2019,2019-03-01,wc,,1078.0,Gotu kola leaves (org),1.3,2.3,3.0
12605,2019,2019-04-15,wc,,1078.0,Gotu kola leaves (org),4.6,2.3,10.0
12624,2019,2019-05-06,wc,,1078.0,Gotu kola leaves (org),2.0,2.3,5.0
12639,2019,2019-06-03,wc,,1078.0,Gotu kola leaves (org),4.2,2.3,10.0
13129,2019,2019-06-03,wc,,1078.0,Gotu kola leaves (org),2.3,3.0,7.0
13137,2019,2019-06-03,wc,,1078.0,Gotu kola leaves (org),14.7,3.0,44.0
13140,2019,2019-06-03,wc,,1078.0,Gotu kola leaves (org),2.1,3.0,6.0
13115,2019,2019-06-27,wc,,1078.0,Gotu kola leaves (org),2.1,3.0,6.0
13148,2019,2019-07-20,wc,,1078.0,Gotu kola leaves (org),21.8,3.0,65.0
13388,2016,2016-06-23,wc,,1080.0,Gotu kola leaves (con),2.28,2.0,5.0
13433,2016,2016-07-23,wc,,1080.0,Gotu kola leaves (con),1.83,2.0,4.0
12491,2019,2019-02-04,wc,,1080.0,Gotu kola leaves (org),15.0,2.3,34.0
12594,2019,2019-04-15,wc,,1080.0,Gotu kola leaves (org),7.6,2.3,17.0
12628,2019,2019-05-06,wc,,1080.0,Gotu kola leaves (org),6.9,2.3,16.0
12650,2019,2019-01-18,wc,,1082.0,Gotu kola leaves (org),3.5,2.3,8.0
12538,2019,2019-02-13,wc,,1082.0,Gotu kola leaves (org),0.9,2.3,2.0
12561,2019,2019-02-22,wc,,1082.0,Gotu kola leaves (org),9.8,2.3,26.0
13147,2019,2019-07-20,wc,,1082.0,Gotu kola leaves (org),5.7,3.0,17.0
13387,2016,2016-06-23,wc,,1085.0,Gotu kola leaves (con),1.18,2.0,2.0
13434,2016,2016-07-23,wc,,1085.0,Gotu kola leaves (con),1.28,2.0,3.0
12651,2019,2019-01-18,wc,,1085.0,Gotu kola leaves (org),5.0,2.3,11.0
11985,2019,2019-01-28,wc,,1085.0,Gotu kola leaves (org),7.0,2.3,16.0
12026,2019,2019-02-12,wc,,1085.0,Gotu kola leaves (org),12.0,2.3,28.0
12525,2019,2019-02-12,wc,,1085.0,Gotu kola leaves (org),4.0,2.3,9.0
12540,2019,2019-02-14,wc,,1085.0,Gotu kola leaves (org),5.0,2.3,11.0
12580,2019,2019-03-01,wc,,1085.0,Gotu kola leaves (org),12.6,2.3,28.0
12613,2019,2019-04-16,wc,,1085.0,Gotu kola leaves (org),20.3,2.3,47.0
12616,2019,2019-04-16,wc,,1085.0,Gotu kola leaves (org),4.7,2.3,11.0
12638,2019,2019-06-03,wc,,1085.0,Gotu kola leaves (org),9.7,2.3,22.0
24931,2015,2015-08-09,wc,,1086.0,Baobab whole fruit (con),16.0,0.1,2.0
12029,2019,2019-02-12,wc,,1086.0,Gotu kola leaves (org),17.0,2.3,39.0
24937,2015,2015-08-09,wc,,1087.0,Baobab whole fruit (con),75.0,0.1,8.0
24621,2015,2015-09-02,wc,,1087.0,Baobab whole fruit (con),167.0,0.1,17.0
12647,2019,2019-01-18,wc,,1087.0,Gotu kola leaves (org),6.0,2.3,15.0
11818,2019,2019-01-21,wc,,1087.0,Gotu kola leaves (org),10.0,2.3,23.0
11848,2019,2019-01-25,wc,,1087.0,Gotu kola leaves (org),18.0,2.3,41.0
11858,2019,2019-01-25,wc,,1087.0,Gotu kola leaves (org),16.0,2.3,36.0
11879,2019,2019-01-25,wc,,1087.0,Gotu kola leaves (org),20.0,2.3,46.0
12497,2019,2019-02-07,wc,,1087.0,Gotu kola leaves (org),2.2,2.3,5.0
12031,2019,2019-02-12,wc,,1087.0,Gotu kola leaves (org),8.0,2.3,18.0
24940,2015,2015-08-09,wc,,1088.0,Baobab whole fruit (con),166.0,0.1,17.0
24613,2015,2015-09-02,wc,,1088.0,Baobab whole fruit (con),53.0,0.1,5.0
24614,2015,2015-09-02,wc,,1088.0,Baobab whole fruit (con),190.0,0.1,19.0
24615,2015,2015-09-02,wc,,1088.0,Baobab whole fruit (con),131.0,0.1,13.0
24616,2015,2015-09-02,wc,,1088.0,Baobab whole fruit (con),66.0,0.1,7.0
24939,2015,2015-08-09,wc,,1089.0,Baobab whole fruit (con),242.0,0.1,24.0
24619,2015,2015-09-02,wc,,1089.0,Baobab whole fruit (con),319.0,0.1,32.0
24620,2015,2015-09-02,wc,,1089.0,Baobab whole fruit (con),47.0,0.1,5.0
24631,2015,2015-09-02,wc,,1089.0,Baobab whole fruit (con),157.0,0.1,16.0
12631,2019,2019-05-06,wc,,1089.0,Gotu kola leaves (org),5.7,2.3,13.0
12640,2019,2019-01-18,wc,,1090.0,Gotu kola leaves (org),6.6,2.3,15.0
11890,2019,2019-01-25,wc,,1090.0,Gotu kola leaves (org),12.0,2.3,28.0
12500,2019,2019-02-07,wc,,1090.0,Gotu kola leaves (org),3.7,2.3,9.0
12030,2019,2019-02-12,wc,,1090.0,Gotu kola leaves (org),19.0,2.3,45.0
24958,2015,2015-08-09,wc,,1091.0,Baobab whole fruit (con),80.0,0.1,8.0
24959,2015,2015-08-09,wc,,1091.0,Baobab whole fruit (con),69.0,0.1,7.0
24960,2015,2015-08-09,wc,,1091.0,Baobab whole fruit (con),45.0,0.1,4.0
24961,2015,2015-08-09,wc,,1091.0,Baobab whole fruit (con),76.0,0.1,8.0
24962,2015,2015-08-09,wc,,1091.0,Baobab whole fruit (con),36.0,0.1,4.0
24981,2015,2015-08-09,wc,,1094.0,Baobab whole fruit (con),148.0,0.1,15.0
13398,2016,2016-06-23,wc,,1094.0,Gotu kola leaves (con),13.6,2.0,27.0
18309,2015,2015-08-09,wc,,1095.0,Baobab whole fruit (con),167.0,0.1,17.0
24938,2015,2015-08-09,wc,,1095.0,Baobab whole fruit (con),18.0,0.1,2.0
24625,2015,2015-09-02,wc,,1095.0,Baobab whole fruit (con),121.0,0.1,12.0
24980,2015,2015-08-09,wc,,1096.0,Baobab whole fruit (con),174.0,0.1,17.0
13400,2016,2016-06-23,wc,,1096.0,Gotu kola leaves (con),1.1,2.0,2.0
13431,2016,2016-07-23,wc,,1096.0,Gotu kola leaves (con),0.49,2.0,1.0
12655,2019,2019-01-17,wc,,1096.0,Gotu kola leaves (org),3.3,2.3,8.0
12485,2019,2019-02-01,wc,,1096.0,Gotu kola leaves (org),9.7,2.3,23.0
12489,2019,2019-02-04,wc,,1096.0,Gotu kola leaves (org),11.5,2.3,26.0
12509,2019,2019-02-09,wc,,1096.0,Gotu kola leaves (org),3.21,2.3,7.0
12522,2019,2019-02-12,wc,,1096.0,Gotu kola leaves (org),17.0,2.3,39.0
12526,2019,2019-02-12,wc,,1096.0,Gotu kola leaves (org),1.7,2.3,4.0
12535,2019,2019-02-13,wc,,1096.0,Gotu kola leaves (org),6.7,2.3,15.0
12545,2019,2019-02-14,wc,,1096.0,Gotu kola leaves (org),1.2,2.3,3.0
12558,2019,2019-02-15,wc,,1096.0,Gotu kola leaves (org),18.1,2.3,42.0
12564,2019,2019-02-22,wc,,1096.0,Gotu kola leaves (org),1.2,2.3,3.0
12571,2019,2019-02-26,wc,,1096.0,Gotu kola leaves (org),5.2,2.3,12.0
12577,2019,2019-02-28,wc,,1096.0,Gotu kola leaves (org),9.2,2.3,21.0
12599,2019,2019-04-15,wc,,1096.0,Gotu kola leaves (org),1.7,2.3,4.0
12603,2019,2019-04-15,wc,,1096.0,Gotu kola leaves (org),1.6,2.3,4.0
12622,2019,2019-05-06,wc,,1096.0,Gotu kola leaves (org),13.6,2.3,31.0
12625,2019,2019-05-06,wc,,1096.0,Gotu kola leaves (org),7.1,2.3,16.0
12629,2019,2019-05-06,wc,,1096.0,Gotu kola leaves (org),116.8,2.3,269.0
12635,2019,2019-06-03,wc,,1096.0,Gotu kola leaves (org),3.0,2.3,7.0
13128,2019,2019-06-03,wc,,1096.0,Gotu kola leaves (org),12.5,3.0,38.0
13122,2019,2019-06-27,wc,,1096.0,Gotu kola leaves (org),5.6,3.0,17.0
22972,2019,2019-06-27,wc,,1096.0,Gotu kola leaves (org),13.7,3.0,41.0
12641,2019,2019-01-18,wc,,1098.0,Gotu kola leaves (org),9.6,2.3,22.0
12499,2019,2019-02-07,wc,,1098.0,Gotu kola leaves (org),2.0,2.3,5.0
12028,2019,2019-02-12,wc,,1098.0,Gotu kola leaves (org),9.0,2.3,21.0
12610,2019,2019-04-16,wc,,1098.0,Gotu kola leaves (org),4.1,2.3,9.0
11898,2019,2019-01-25,wc,,1102.0,Gotu kola leaves (org),8.0,2.3,18.0
12032,2019,2019-02-12,wc,,1102.0,Gotu kola leaves (org),14.0,2.3,32.0
24956,2015,2015-08-09,wc,,1103.0,Baobab whole fruit (con),81.0,0.1,8.0
24957,2015,2015-08-09,wc,,1103.0,Baobab whole fruit (con),112.0,0.1,11.0
24627,2015,2015-09-02,wc,,1103.0,Baobab whole fruit (con),69.0,0.1,7.0
24934,2015,2015-08-09,wc,,1104.0,Baobab whole fruit (con),217.0,0.1,22.0
24942,2015,2015-08-09,wc,,1104.0,Baobab whole fruit (con),76.0,0.1,8.0
24955,2015,2015-08-09,wc,,1104.0,Baobab whole fruit (con),15.0,0.1,2.0
24626,2015,2015-09-02,wc,,1104.0,Baobab whole fruit (con),282.0,0.1,28.0
24813,2015,2015-08-07,wc,,1106.0,Baobab whole fruit (con),46.0,0.1,5.0
24376,2015,2015-08-29,wc,,1106.0,Baobab whole fruit (con),19.0,0.1,2.0
24377,2015,2015-08-29,wc,,1106.0,Baobab whole fruit (con),40.0,0.1,4.0
24636,2015,2015-09-03,wc,,1106.0,Baobab whole fruit (con),47.0,0.1,5.0
24747,2015,2015-08-05,wc,,1107.0,Baobab whole fruit (con),160.0,0.1,16.0
13535,2015,2015-08-29,wc,,1107.0,Baobab whole fruit (con),41.0,0.1,4.0
24413,2015,2015-09-05,wc,,1108.0,Baobab whole fruit (con),56.0,0.1,6.0
24528,2015,2015-09-23,wc,,1108.0,Baobab whole fruit (con),348.0,0.1,35.0
24534,2015,2015-09-24,wc,,1108.0,Baobab whole fruit (con),137.0,0.1,14.0
24541,2015,2015-09-24,wc,,1108.0,Baobab whole fruit (con),31.0,0.1,3.0
24542,2015,2015-09-24,wc,,1108.0,Baobab whole fruit (con),46.0,0.1,5.0
24411,2015,2015-09-05,wc,,1109.0,Baobab whole fruit (con),106.0,0.1,11.0
24412,2015,2015-09-05,wc,,1109.0,Baobab whole fruit (con),52.0,0.1,5.0
24418,2015,2015-09-05,wc,,1109.0,Baobab whole fruit (con),49.0,0.1,5.0
24421,2015,2015-09-05,wc,,1109.0,Baobab whole fruit (con),322.0,0.1,32.0
24527,2015,2015-09-23,wc,,1109.0,Baobab whole fruit (con),350.0,0.1,35.0
24531,2015,2015-09-24,wc,,1109.0,Baobab whole fruit (con),102.0,0.1,10.0
24532,2015,2015-09-24,wc,,1109.0,Baobab whole fruit (con),46.0,0.1,5.0
24547,2015,2015-09-24,wc,,1109.0,Baobab whole fruit (con),89.0,0.1,9.0
24548,2015,2015-09-24,wc,,1109.0,Baobab whole fruit (con),52.0,0.1,5.0
24415,2015,2015-09-05,wc,,1112.0,Baobab whole fruit (con),18.0,0.1,2.0
24529,2015,2015-09-23,wc,,1112.0,Baobab whole fruit (con),372.0,0.1,37.0
24536,2015,2015-09-24,wc,,1112.0,Baobab whole fruit (con),47.0,0.1,5.0
24543,2015,2015-09-24,wc,,1112.0,Baobab whole fruit (con),115.0,0.1,12.0
24544,2015,2015-09-24,wc,,1112.0,Baobab whole fruit (con),352.0,0.1,35.0
24651,2015,2015-09-05,wc,,1116.0,Baobab whole fruit (con),106.0,0.1,11.0
24655,2015,2015-09-05,wc,,1116.0,Baobab whole fruit (con),347.0,0.1,35.0
24638,2015,2015-09-03,wc,,1119.0,Baobab whole fruit (con),247.0,0.1,25.0
24653,2015,2015-09-05,wc,,1119.0,Baobab whole fruit (con),197.0,0.1,20.0
24656,2015,2015-09-05,wc,,1119.0,Baobab whole fruit (con),153.0,0.1,15.0
24639,2015,2015-09-03,wc,,1120.0,Baobab whole fruit (con),181.0,0.1,18.0
24640,2015,2015-09-03,wc,,1120.0,Baobab whole fruit (con),73.0,0.1,7.0
24654,2015,2015-09-05,wc,,1121.0,Baobab whole fruit (con),265.0,0.1,26.0
24657,2015,2015-09-05,wc,,1121.0,Baobab whole fruit (con),60.0,0.1,6.0
24419,2015,2015-09-05,wc,,1125.0,Baobab whole fruit (con),99.0,0.1,10.0
24422,2015,2015-09-05,wc,,1125.0,Baobab whole fruit (con),221.0,0.1,22.0
